cohort_quarter,cohort_quarter_customer_count,quarters_since_cohort,customer_count,retention,is_measurable
2022-04-01,264,1,109.0,41.29,True
2022-04-01,264,2,106.0,40.15,True
2022-04-01,264,3,107.0,40.53,True
2022-07-01,545,1,65.0,11.93,True
2022-07-01,545,2,71.0,13.03,True
2022-07-01,545,3,69.0,12.66,True
2022-10-01,603,1,7.0,1.16,True
2022-10-01,603,2,10.0,1.66,True
2022-10-01,603,3,7.0,1.16,True
2023-01-01,589,1,1.0,0.17,True
2023-01-01,589,2,0.0,0.0,True
2023-01-01,589,3,0.0,0.0,True
2023-04-01,798,1,116.0,14.54,True
2023-04-01,798,2,107.0,13.41,True
2023-04-01,798,3,113.0,14.16,True
2023-07-01,786,1,72.0,9.16,True
2023-07-01,786,2,67.0,8.52,True
2023-07-01,786,3,86.0,10.94,True
2023-10-01,782,1,7.0,0.9,True
2023-10-01,782,2,46.0,5.88,True
2023-10-01,782,3,86.0,11.0,True
2024-01-01,870,1,50.0,5.75,True
2024-01-01,870,2,142.0,16.32,True
2024-01-01,870,3,248.0,28.51,True
2024-04-01,1006,1,179.0,17.79,True
2024-04-01,1006,2,288.0,28.63,True
2024-04-01,1006,3,303.0,30.12,True
2024-07-01,3543,1,443.0,12.5,True
2024-07-01,3543,2,424.0,11.97,True
2024-07-01,3543,3,419.0,11.83,True
2024-10-01,3348,1,263.0,7.86,True
2024-10-01,3348,2,264.0,7.89,True
2024-10-01,3348,3,,,False
2025-01-01,3166,1,222.0,7.01,True
2025-01-01,3166,2,,,False
2025-01-01,3166,3,,,False
2025-04-01,2819,1,,,False
2025-04-01,2819,2,,,False
2025-04-01,2819,3,,,False
