"cohort_quarter","cohort_quarter_customer_count","quarter_1_customer_count","quarter_1_retention","quarter_2_customer_count","quarter_2_retention","quarter_3_customer_count","quarter_3_retention"
2022-04-01,264,109,41.29,106,40.15,107,40.53
2022-07-01,545,65,11.93,71,13.03,69,12.66
2022-10-01,603,7,1.16,10,1.66,7,1.16
2023-01-01,589,1,0.17,0,0.00,0,0.00
2023-04-01,798,116,14.54,107,13.41,113,14.16
2023-07-01,786,72,9.16,67,8.52,86,10.94
2023-10-01,782,7,0.90,46,5.88,86,11.00
2024-01-01,870,50,5.75,142,16.32,248,28.51
2024-04-01,1006,179,17.79,288,28.63,303,30.12
2024-07-01,3543,443,12.50,424,11.97,419,11.83
2024-10-01,3348,263,7.86,264,7.89,,
2025-01-01,3166,222,7.01,,,,
2025-04-01,2819,,,,,,
