"order_quarter","revenue","last_quarter_revenue","quarter_over_quarter_percentage_change"
2022-04-01,2519016.40,,
2022-07-01,5831058.22,2519016.40,131.48
2022-10-01,6210976.97,5831058.22,6.52
2023-01-01,6502423.05,6210976.97,4.69
2023-04-01,8808557.97,6502423.05,35.47
2023-07-01,9047743.03,8808557.97,2.72
2023-10-01,7246197.90,9047743.03,-19.91
2024-01-01,7838170.11,7246197.90,8.17
2024-04-01,10855196.92,7838170.11,38.49
2024-07-01,12783705.28,10855196.92,17.77
2024-10-01,12194817.19,12783705.28,-4.61
2025-01-01,12830208.58,12194817.19,5.21
2025-04-01,7178309.78,12830208.58,-44.05
