"customer_id","days_since_last_order","order_count","revenue","recency_score","frequency_score","revenue_score","total_score","customer_label"
28076,37,2,5997,5,5,5,"555",Champion
13118,38,3,5670,5,5,5,"555",Champion
13644,38,3,6864,5,5,5,"555",Champion
13960,38,3,6872,5,5,5,"555",Champion
28030,71,2,5971,5,5,5,"555",Champion
22904,38,2,4760,5,5,5,"555",Champion
16053,38,3,3752,5,5,5,"555",Champion
16559,38,2,4705,5,5,5,"555",Champion
12657,38,4,7384,5,5,5,"555",Champion
12291,71,4,8068,5,5,5,"555",Champion
13784,38,3,7138,5,5,5,"555",Champion
13636,62,3,6832,5,5,5,"555",Champion
16350,38,2,5903,5,5,5,"555",Champion
30118,62,8,278569,5,5,5,"555",Champion
11993,38,3,8131,5,5,5,"555",Champion
16308,38,2,4552,5,5,5,"555",Champion
12330,37,4,7933,5,5,5,"555",Champion
16566,63,3,5806,5,5,5,"555",Champion
16348,38,2,5918,5,5,5,"555",Champion
13971,37,3,6772,5,5,5,"555",Champion
16624,38,2,5938,5,5,5,"555",Champion
13543,37,2,5923,5,5,5,"555",Champion
28246,38,2,5976,5,5,5,"555",Champion
11261,38,3,6651,5,5,5,"555",Champion
14719,38,3,5512,5,5,5,"555",Champion
21974,71,2,4925,5,5,5,"555",Champion
15917,37,2,4679,5,5,5,"555",Champion
28159,37,2,5979,5,5,5,"555",Champion
15621,37,2,5978,5,5,5,"555",Champion
11429,37,6,10468,5,5,5,"555",Champion
12745,37,3,5200,5,5,5,"555",Champion
16560,37,2,4634,5,5,5,"555",Champion
17093,63,3,6918,5,5,5,"555",Champion
29494,62,9,16225,5,5,5,"555",Champion
29642,62,9,122361,5,5,5,"555",Champion
29498,62,8,5179,5,5,5,"555",Champion
29781,62,8,29528,5,5,5,"555",Champion
29815,62,8,86178,5,5,5,"555",Champion
29929,62,8,349342,5,5,5,"555",Champion
30113,62,8,273186,5,5,5,"555",Champion
27667,63,2,5997,5,5,5,"555",Champion
30029,62,8,60762,5,5,5,"555",Champion
29568,62,8,14176,5,5,5,"555",Champion
27542,63,2,4533,5,5,5,"555",Champion
29535,62,8,14042,5,5,5,"555",Champion
29576,62,8,7778,5,5,5,"555",Champion
29740,62,8,64700,5,5,5,"555",Champion
29915,62,9,172228,5,5,5,"555",Champion
13618,63,3,6763,5,5,5,"555",Champion
29809,62,8,94535,5,5,5,"555",Champion
29856,62,8,54634,5,5,5,"555",Champion
29812,62,8,7558,5,5,5,"555",Champion
29622,62,10,231594,5,5,5,"555",Champion
29822,62,8,250219,5,5,5,"555",Champion
29891,62,8,248369,5,5,5,"555",Champion
21957,63,2,4919,5,5,5,"555",Champion
14673,63,3,5118,5,5,5,"555",Champion
30037,62,8,45503,5,5,5,"555",Champion
29975,62,8,45288,5,5,5,"555",Champion
29528,62,8,144110,5,5,5,"555",Champion
